belongs_to_collection,homepage,budget,popularity,runtime,production_companies,production_countries
0,0,50000000,6,91,109,1
0,0,22649291,11,135,3006,56
0,0,2500000,4,95,3007,1
0,0,7500000,1,102,0,35
0,0,20000000,7,127,3008,18
0,1,5000000,39,98,3009,1
0,1,22649291,11,95,3010,404
0,0,35000000,5,115,76,1
0,0,130000,11,100,3011,26
0,1,1000000,10,93,3012,18
0,0,27563396,8,148,3013,8
0,0,22649291,1,110,66,1
0,1,15000,1,84,0,52
0,0,22649291,3,80,3014,1
0,1,22649291,5,97,3015,1
0,1,22649291,6,99,3016,1
0,0,46000000,12,117,317,1
0,1,9500000,10,139,3017,405
1,0,18000000,10,115,76,1
0,0,11000000,1,80,3018,1
1,1,45000000,9,112,3019,1
0,1,22649291,1,74,3020,28
0,0,22649291,1,119,3021,1
0,0,22649291,7,123,3022,89
0,1,180000000,45,109,3023,48
0,0,22649291,1,94,3024,1
0,0,22649291,8,107,3025,1
0,0,12000000,10,94,66,1
0,0,9000000,9,181,3026,1
0,0,1000000,11,103,3027,329
0,0,48000000,11,113,3028,1
0,0,21000000,20,95,3029,18
0,1,33000000,15,116,3030,44
0,0,6000000,5,97,3031,1
0,0,70000000,6,90,3032,3
0,1,2000000,10,109,3033,1
0,1,35000000,10,137,3034,1
0,0,40000000,12,113,3035,1
0,1,165000000,44,115,1702,1
1,1,2500000,9,117,3036,406
0,0,13500000,10,107,3037,1
0,0,22649291,3,106,0,207
0,0,28000000,15,113,3038,1
0,0,75000,0,57,3039,1
0,1,14000000,11,74,3040,1
1,0,28000000,17,131,3041,1
1,1,140000000,17,88,3042,1
0,0,26000000,3,116,49,1
0,1,22649291,0,88,0,0
1,0,22649291,4,95,3043,1
1,0,3500000,1,88,0,407
1,0,73000000,1,129,802,1
0,1,12000000,4,145,3044,97
0,0,18000000,8,87,3045,88
0,0,2000000,9,109,3046,1
0,0,2840000,4,133,3047,2
0,0,22649291,36,140,0,148
1,0,58000000,13,111,3048,1
0,0,4000000,4,100,3049,1
0,1,22649291,7,110,197,408
1,1,150000000,13,89,1972,1
0,0,38000000,11,123,3050,187
0,1,15000000,9,92,3051,6
0,0,30000000,8,104,3052,1
1,0,22649291,5,82,73,1
0,0,23000000,6,102,2558,116
0,1,175000000,43,123,3053,1
0,1,1488423,16,83,46,1
1,0,76000,1,70,3054,1
0,0,22649291,0,87,3055,35
0,1,22649291,7,118,3056,1
0,0,5037000,4,168,3057,1
0,1,5000000,9,102,3058,1
1,0,20000000,11,129,3059,1
0,1,22649291,5,153,1790,2
1,0,22649291,5,141,45,51
0,0,130000,1,105,3060,1
0,0,3500000,8,116,3061,1
0,0,1300000,0,102,0,1
0,0,8500000,4,94,76,1
0,0,37000000,13,98,3062,1
0,1,10000000,8,94,61,1
1,0,75000000,18,145,3063,1
0,1,22649291,1,85,3064,1
0,0,22649291,7,104,3065,1
0,0,10000000,3,100,1763,1
0,0,30000000,14,99,3066,207
1,0,22000000,5,93,26,1
0,0,22649291,2,102,3067,409
0,0,20000000,4,124,224,1
0,1,20000000,8,104,3068,1
0,0,10000000,10,90,3069,1
1,0,100000000,13,121,3070,18
0,0,22649291,5,84,1106,1
0,1,35000000,13,109,3071,1
0,0,60000000,9,122,3072,1
1,0,27000000,6,113,26,1
1,0,22649291,3,74,3073,35
0,0,12000000,4,93,3074,410
0,0,22649291,7,109,49,1
0,0,13000000,7,112,3075,1
0,0,28000000,10,96,2,1
0,0,500,0,78,0,1
1,0,22649291,1,160,316,2
0,0,60000000,16,83,2456,1
1,0,6000000,4,95,66,1
1,0,13800000,7,89,3076,14
1,0,3849796,1,115,0,0
0,0,9500000,9,124,3077,1
1,1,110000000,12,114,3078,144
1,1,200000000,37,133,3079,1
0,0,22649291,6,88,3080,1
0,0,15000000,12,84,3081,1
0,0,22649291,2,97,45,1
1,0,30000000,8,98,3082,21
0,0,1644736,4,126,76,1
0,0,22649291,6,107,6,1
0,1,22649291,8,94,3083,1
0,0,725000,6,102,3080,1
1,0,22000000,9,104,89,1
0,1,55000000,7,104,3084,161
1,1,150000000,16,93,2456,1
0,0,22649291,9,140,3085,3
0,0,40000000,8,113,3086,323
0,0,22649291,8,111,3087,411
0,0,100000,8,86,3088,87
0,0,7000000,4,104,2558,1
0,0,22649291,1,111,3089,1
0,0,22000000,9,90,3090,1
0,0,22649291,7,109,3091,25
0,1,6500000,10,105,3092,6
1,1,210000000,18,165,3093,1
0,0,70000000,10,97,2558,1
0,0,17000000,13,120,3094,412
0,0,140000000,16,95,303,1
0,0,25000000,8,84,61,1
0,0,22649291,5,99,3095,0
1,0,8000000,8,89,31,1
0,0,11000000,5,95,3096,1
0,0,22649291,9,130,3097,1
0,0,20000000,10,117,46,1
1,0,22649291,1,80,0,121
1,1,30000000,16,134,3098,1
0,1,40000000,7,119,3099,1
0,0,60000000,11,96,3100,18
1,1,66000000,13,122,3101,1
0,0,22649291,1,114,3102,1
0,1,22649291,5,103,3103,413
0,0,3300000,3,96,3104,1
0,0,829000,10,95,1057,1
0,1,10000000,7,80,3105,1
0,0,50000000,20,106,3106,106
0,0,22649291,9,100,3107,1
1,1,215000000,31,136,3108,1
0,0,44000000,5,118,3109,1
0,0,11000000,3,139,49,414
0,0,10000000,10,116,3110,1
0,1,15000000,10,100,3111,1
0,0,22649291,4,97,3112,1
0,0,22649291,1,96,3113,1
0,0,17000000,2,91,224,1
0,1,30000000,8,108,3114,44
1,0,25000000,6,104,3115,21
1,0,15000000,16,102,3116,1
0,1,6500000,7,116,3117,18
1,0,50000000,7,115,3118,74
0,0,22649291,9,105,3119,1
0,0,40000000,6,108,3120,103
0,0,4300000,5,179,3121,79
1,1,80341000,12,150,3122,32
0,0,22649291,1,90,0,35
0,1,25000000,10,97,3123,1
0,0,500000,0,157,1269,2
0,1,20000000,9,112,3124,102
0,0,22649291,1,96,0,1
0,0,7200000,4,104,3125,67
0,1,10000000,9,97,3126,1
0,0,22649291,0,172,755,2
0,0,8000000,7,110,3127,1
0,1,65000000,15,104,2,1
1,0,24000000,11,120,3128,1
0,0,22649291,2,103,3129,1
0,0,32000000,9,119,3075,1
0,1,20000000,7,104,3130,18
0,0,12500000,6,107,3131,1
0,0,35000000,11,131,3132,1
0,0,90000000,21,143,3133,1
0,0,22649291,5,123,3134,215
1,1,30000000,9,113,3135,31
0,1,22649291,11,93,3136,18
0,0,70000000,15,125,3137,1
1,0,22649291,12,98,3138,1
0,0,22649291,4,88,3139,1
1,0,14000000,13,111,3140,1
0,0,36000000,10,91,3141,1
0,1,2270000,3,104,0,2
0,0,22649291,0,90,3142,152
0,0,10000000,8,120,509,1
0,0,66000000,8,116,3143,59
0,0,22649291,3,100,3144,1
0,0,22649291,2,81,0,1
0,0,22649291,5,98,3145,415
0,1,30000000,13,118,3146,1
0,0,22649291,4,80,3147,88
0,0,22649291,9,187,3148,1
0,0,4000000,5,101,3149,18
0,0,22649291,7,102,3150,1
0,0,4000000,3,132,0,1
0,1,22649291,2,150,0,2
0,0,26000000,9,118,31,1
0,0,4100000,1,136,3151,2
0,0,41000000,10,100,3152,1
0,1,8500000,21,117,3153,1
0,0,1500000,11,81,3154,1
1,0,190000000,16,132,3155,1
0,0,2500000,10,93,3156,6
0,1,1,0,73,0,97
0,1,22649291,5,97,3157,416
1,1,150000000,18,131,3158,161
0,1,9000000,7,120,3159,3
1,0,250000,1,88,3160,1
0,0,2000000,0,115,3161,417
0,1,15000000,4,102,3162,1
0,1,6000000,6,104,3163,6
0,0,22649291,0,140,0,0
0,0,730000,17,85,3164,1
0,0,3000000,2,104,3165,1
0,0,30000000,9,108,3166,1
1,1,28000000,16,90,2,1
0,1,22000000,8,114,3167,1
0,1,3500000,11,112,3168,1
1,1,160000000,1,132,3169,1
0,0,55000000,11,104,61,1
0,0,22649291,7,101,3170,1
0,0,12000000,11,96,3171,1
0,0,22649291,8,103,3172,26
0,0,4000000,7,113,61,1
1,1,2000000,12,83,3173,1
0,0,22649291,6,90,3174,1
0,0,22649291,6,98,45,1
1,0,40000000,15,110,3175,1
0,1,380000,0,107,0,2
0,0,2500000,12,111,3176,1
0,0,15000000,8,134,3177,1
0,1,69000000,36,116,3178,1
0,1,4000000,5,90,3179,1
0,0,50000000,11,115,922,1
0,0,22649291,4,88,45,1
0,1,22649291,3,107,45,1
0,1,75000000,15,91,3180,1
1,0,10000000,15,108,3181,1
0,1,22649291,0,97,3182,1
1,1,12000000,5,122,2142,1
1,0,48000000,14,115,3183,10
0,0,15000000,2,122,26,1
0,0,15000000,8,100,1853,1
0,0,7000000,8,113,89,1
0,1,4090000,2,102,316,2
0,0,40000000,10,138,3184,1
1,0,12000000,10,107,2558,1
0,0,22000000,8,108,3185,1
1,0,291000,8,71,61,1
0,1,70000000,17,153,3186,21
0,0,22649291,12,110,3187,1
1,0,15000000,9,93,3188,280
0,0,13000000,5,91,3189,1
0,0,970000,4,101,3190,1
0,0,25000000,13,143,3191,418
0,0,19000000,7,104,3192,1
0,0,6000000,2,138,3193,8
0,0,25000000,9,94,3194,419
0,1,22649291,8,103,3195,420
0,0,22649291,0,86,0,0
0,0,22649291,5,98,3196,18
0,0,22649291,1,80,207,1
0,1,25000000,5,113,3197,1
0,0,22649291,1,106,3198,137
0,0,6500000,7,93,61,1
0,0,1500000,1,138,45,1
1,1,8000000,8,118,3199,1
0,1,1000000,6,83,3200,1
0,1,40000000,36,89,3201,25
0,0,7000000,2,113,3202,1
1,1,15000000,5,101,299,1
0,0,3716946,3,121,45,1
0,0,15000000,12,103,109,1
0,0,40000000,6,84,3203,59
0,0,22649291,3,97,2709,1
0,0,3700000,1,128,3204,2
0,0,85000000,9,102,3205,1
1,0,22649291,4,95,0,0
0,1,27000000,8,106,3206,421
0,0,3000000,7,112,3207,37
0,0,15000000,2,113,3208,53
0,0,22649291,3,96,3209,1
1,0,22649291,5,108,3210,1
1,0,22649291,2,80,3211,422
0,1,22649291,8,94,3212,18
0,0,100000000,8,138,3213,423
0,0,40000000,9,137,1045,1
0,0,20000000,7,115,3095,1
0,0,6500000,5,105,3214,88
0,0,25000000,4,107,3215,21
1,1,110000000,28,119,3216,1
0,0,7400000,4,96,31,1
0,1,20000000,9,100,3217,1
0,0,3000000,5,85,7,1
0,0,2200000,2,105,2108,424
1,0,900000,9,92,1038,1
1,0,9000000,12,80,802,1
1,0,30000000,7,95,3218,1
0,0,300000,2,88,3219,1
0,1,5000000,15,94,3220,25
1,0,3600000,5,120,3221,425
0,0,22649291,3,97,0,1
0,1,8000000,13,92,3222,1
0,0,2962051,5,108,3223,1
0,0,22649291,4,91,3224,1
0,0,22649291,1,145,3225,2
0,0,19250000,7,102,3226,21
0,0,2600000,14,88,964,1
0,0,1400000,3,103,316,2
0,0,12500000,6,80,3227,8
0,0,2800000,7,102,3228,1
0,1,5000000,2,121,3229,1
0,1,15000000,4,102,335,28
1,0,25000000,11,106,3230,1
1,1,80000000,24,102,3231,1
0,0,22649291,12,109,61,1
0,0,7200000,9,111,3232,1
1,0,50000000,13,86,3233,1
0,0,10000000,6,110,3234,1
0,0,22649291,5,103,45,1
0,0,22649291,8,84,3235,1
0,0,38000000,7,116,3236,426
0,1,1000000,9,92,3237,1
1,0,22649291,2,95,3238,51
1,1,22649291,7,97,1844,51
0,1,40000000,13,146,3239,21
0,1,52000000,7,92,3240,376
0,0,600000,7,109,0,37
0,1,1987650,7,94,3241,427
0,0,1300000,2,179,1790,2
0,0,19000000,4,95,3242,1
0,0,22649291,0,90,3243,428
0,1,150000000,22,115,3244,102
0,0,22649291,6,103,3245,6
0,0,80000000,7,93,3246,1
0,0,19000000,6,178,3247,1
0,1,3000000,2,138,0,2
1,0,26000000,11,84,224,1
0,0,6000000,7,141,3248,1
0,0,6000000,3,107,3249,6
0,0,22649291,7,254,3250,1
0,1,11000000,6,114,3251,1
0,0,25000000,4,98,73,1
0,0,22649291,2,77,3252,429
0,1,22649291,0,90,3253,29
1,0,22649291,3,90,3254,1
0,1,130000,0,80,0,0
0,0,170000000,10,106,3255,1
0,0,40600000,14,116,2253,1
0,1,22649291,7,110,3256,1
0,0,22649291,8,126,3257,1
0,0,6500000,6,125,26,1
0,0,500000,1,157,0,2
0,0,2000000,5,88,7,1
0,0,40000000,8,100,3258,1
0,1,25000000,11,131,3259,124
0,1,60720000,5,93,3260,32
0,0,4500000,11,106,3261,430
0,1,24000000,12,139,3262,1
1,1,22649291,6,97,3263,6
0,1,8000000,11,124,3264,51
1,0,127000000,20,97,3265,18
0,1,175000000,24,94,269,1
0,0,12000000,15,151,3266,18
0,1,50200000,9,106,3267,1
1,0,16000000,7,107,76,1
0,0,175000000,15,163,3268,431
0,0,6500000,1,109,3269,432
0,0,6000000,8,94,3270,1
0,0,22649291,5,113,3271,433
0,0,1180280,1,110,3272,1
0,1,22649291,3,145,3273,434
1,0,17000000,8,90,3274,18
0,1,15000000,4,103,3275,1
0,0,12000000,8,97,3276,1
0,0,22649291,1,92,3277,45
0,0,22649291,0,107,0,0
0,0,40000000,9,102,3278,435
0,0,22649291,5,121,3279,88
0,0,12000000,8,122,66,1
1,0,6000000,7,76,3280,1
1,0,2500000,12,98,3281,1
0,1,22649291,0,103,0,0
0,1,51500000,10,100,3282,436
0,0,30000000,6,114,3283,1
1,0,9000000,3,92,3284,88
0,0,22649291,9,83,2,18
1,1,32000000,8,102,156,1
0,0,10000000,19,106,3285,1
0,0,22649291,14,105,3286,437
0,0,22649291,5,109,0,29
0,0,15000000,1,107,0,438
0,0,30000000,8,95,3287,88
1,0,45000000,18,128,3288,25
0,0,105000000,18,143,3289,144
1,1,32350000,15,135,2994,1
1,0,300000,6,80,65,1
0,0,22649291,2,95,3290,6
0,0,50000000,7,96,3291,1
0,0,22649291,4,106,3292,284
0,0,22649291,5,120,3293,1
0,0,23000000,9,90,66,1
0,0,3000000,6,88,3294,1
0,0,45000000,6,112,26,1
0,1,17000000,7,86,3295,1
1,1,22649291,3,92,3296,1
0,1,60000000,12,102,3297,1
0,1,30000000,13,124,3298,1
0,0,15000000,13,104,3299,1
0,0,17000000,16,103,1763,1
0,1,105000000,17,97,620,1
0,0,80000000,8,108,64,1
1,0,22000000,5,83,3300,1
0,0,22649291,4,92,0,8
1,1,70000000,13,124,3301,1
0,1,6000000,9,93,3302,1
0,0,450000,0,134,3303,2
0,0,6000000,2,86,0,1
1,1,165000000,14,98,3304,1
0,0,22649291,11,102,960,1
0,0,22649291,13,101,3305,1
0,0,3000000,12,26,46,1
1,0,4000000,7,102,3306,383
0,0,3500000,7,75,3307,1
0,1,150000000,19,81,303,1
0,1,50000000,5,98,3308,1
0,0,22649291,0,90,3309,29
1,0,22649291,6,112,3310,1
0,0,15000000,11,102,45,1
0,0,22649291,8,127,3311,1
0,0,9000000,6,90,26,18
1,0,12300000,14,69,3312,63
0,0,22649291,6,111,31,56
0,1,10000000,13,122,3313,17
0,0,22649291,1,96,3314,6
0,0,22649291,1,101,3315,1
1,0,22649291,15,86,26,1
0,1,22649291,0,110,0,0
0,1,5750000,1,137,3316,2
0,0,22649291,0,90,3317,439
0,1,185000000,16,93,269,1
0,1,19000000,6,101,3318,1
0,0,25000000,8,158,3319,1
0,0,46630000,8,126,3320,163
0,1,30000000,9,126,3321,51
0,0,22649291,4,130,89,1
0,0,22649291,5,111,3322,440
1,1,8000000,7,106,3323,37
0,1,58000000,12,103,3324,59
0,0,70000000,11,121,3325,1
0,1,15000000,12,113,3326,106
1,0,22649291,15,85,3327,1
0,0,22649291,3,91,689,1
0,0,400000,10,95,3328,1
0,0,25000000,10,80,3040,1
0,0,22649291,6,93,1106,1
0,1,22649291,5,126,3329,441
1,0,1000000,7,99,3330,37
0,1,9000000,8,117,3331,1
0,1,8000000,15,92,3332,1
0,0,15000000,8,90,3333,1
0,1,22649291,1,88,0,1
0,0,22649291,0,105,3334,1
0,1,23000000,10,93,3335,63
0,0,22649291,1,102,26,1
0,0,22649291,1,113,527,1
1,0,14000000,10,112,31,1
1,1,18000000,20,115,455,1
0,0,22649291,6,114,76,18
1,1,45000000,15,120,3336,1
1,0,98000000,17,130,3337,1
0,0,22649291,1,101,3338,18
0,1,15000000,9,104,3339,1
0,0,22649291,1,87,3340,28
0,1,22649291,12,102,3341,194
0,1,32000000,7,102,3342,1
1,0,5000000,2,89,335,28
0,0,5000000,2,139,3343,1
0,1,22649291,11,97,3344,1
0,0,350000,5,86,2706,1
0,0,22649291,8,107,3345,1
0,0,22000000,17,139,3346,1
0,0,22649291,11,86,3347,1
0,1,22649291,0,127,3348,35
0,1,175000000,44,126,3349,1
0,1,14500000,12,120,3350,1
0,0,35000000,8,118,3351,1
0,0,22649291,5,98,3352,6
0,0,50000000,15,115,3353,21
1,0,30000000,11,87,3354,1
0,0,25000000,8,98,3355,1
0,0,22649291,1,85,0,1
0,1,100000000,15,106,3356,1
0,1,42000000,11,145,3357,1
0,1,8000000,8,80,3358,442
0,0,3500000,8,129,3359,443
1,0,9272437,4,105,3360,29
0,1,14000000,7,109,76,1
0,0,2800000,1,95,2266,28
1,0,22649291,1,105,3361,1
0,0,35000000,7,106,3362,25
0,0,30000000,9,144,3363,1
0,0,22649291,2,98,3364,3
1,0,78000000,14,95,3365,1
0,0,1400000,3,134,45,1
0,0,40000000,27,97,3366,1
0,0,200000,2,66,26,1
0,1,46000000,14,161,3367,444
0,0,23000000,7,141,3368,18
0,1,11000000,9,119,3369,3
0,1,22649291,9,95,3370,51
0,1,14000000,32,113,3371,6
0,1,8700000,6,105,3372,445
1,1,5000000,12,90,3373,88
0,0,35000000,8,103,3374,1
0,1,64000000,7,98,3375,1
0,0,864000,4,123,490,1
1,0,35000000,8,101,3376,59
0,0,28000000,12,137,47,1
0,0,22649291,3,107,73,1
0,0,15000000,10,121,3377,207
0,0,9400000,13,163,3378,1
0,0,40000000,14,119,3379,18
0,0,14000000,6,106,224,1
1,0,40000000,7,98,3380,1
0,1,2777000,22,102,3381,1
0,0,18000000,6,116,3382,42
0,0,22649291,10,105,2,1
0,0,6500000,11,131,61,1
0,0,22649291,3,101,148,1
0,1,22649291,0,81,0,0
0,0,22649291,7,128,3383,1
1,0,85000,16,83,3384,1
0,0,53000000,17,109,3385,1
0,0,26000000,13,121,224,1
0,0,60000000,7,140,64,1
1,1,160000000,2,130,3386,1
0,1,110000000,13,114,3387,1
1,1,15000000,6,80,3388,1
0,0,22649291,1,124,3389,446
1,0,78000000,3,124,3390,21
1,1,11000000,17,90,3391,447
1,0,11500000,13,114,3392,1
1,0,100000000,12,78,303,1
0,1,818418,4,152,3393,383
0,0,707503,2,90,85,28
0,1,70000000,10,107,3394,18
1,0,5400000,16,150,3395,18
0,1,20000000,8,113,3396,1
0,0,22649291,10,94,2438,1
0,1,30000000,7,113,3397,1
0,0,22649291,12,130,3398,1
0,1,100000000,10,121,497,1
0,0,3250000,2,96,3399,18
0,0,12500000,3,99,3400,1
0,0,22649291,14,110,3401,1
0,0,8900000,8,127,3402,448
0,1,20000000,6,120,3403,1
0,0,14000000,11,131,509,1
0,1,4000000,11,120,3404,1
0,1,22649291,3,97,3405,18
0,0,5000000,3,94,3406,383
0,0,22649291,5,103,3407,287
1,0,22649291,0,96,3408,449
0,0,8000000,4,93,3409,450
0,0,25000000,3,99,3410,59
0,0,60000000,8,115,3411,1
1,0,25000000,13,86,3412,1
0,0,22649291,1,89,3413,1
0,0,22649291,12,99,3414,1
0,0,22649291,4,100,3415,171
1,0,30000000,22,136,80,1
0,0,22649291,1,129,3416,28
0,0,49000000,4,104,3417,1
1,1,97000000,73,122,3418,451
0,0,4000000,1,80,1372,28
0,0,22649291,7,115,3419,1
0,0,22649291,7,94,1763,1
0,0,3,1,113,3420,3
0,0,2000000,15,207,543,51
0,1,22649291,25,110,3421,264
1,0,13500000,13,93,77,74
0,0,7500000,2,100,3422,25
0,0,5000000,0,94,3423,1
0,0,22649291,2,93,3424,452
0,0,336029,1,107,0,0
0,1,70000000,15,113,3425,1
1,0,120000000,9,78,3426,1
1,1,225000000,11,106,3427,1
0,0,4653000,7,120,3428,1
1,1,2000000,13,115,2815,6
0,0,22649291,6,99,3429,1
0,0,22649291,2,93,3430,1
0,0,3500000,8,91,3431,6
0,1,1000000,6,99,3432,1
0,0,20000000,11,101,3433,1
0,0,2224000,1,100,3434,237
0,0,22649291,0,109,3435,3
1,0,22649291,2,137,3436,1
0,0,13000000,1,107,76,1
0,1,22649291,5,90,3437,453
1,1,50000000,8,96,3438,1
0,0,22649291,15,115,3439,454
0,0,22649291,3,105,3440,1
0,0,75000000,9,93,3441,1
1,1,94000000,25,100,1235,1
0,0,11000000,8,120,3442,1
0,0,22649291,3,111,3443,1
0,0,22649291,0,90,994,1
1,0,22649291,2,101,3444,98
0,0,65000000,6,93,76,21
1,0,3000000,1,99,1150,28
1,0,22649291,1,76,3445,28
1,0,7000000,15,97,89,1
1,0,8,10,98,1106,1
0,0,42000000,12,124,3446,1
0,0,25000000,15,96,3447,1
0,0,10000000,3,106,3448,106
0,0,30000000,8,94,3449,1
0,0,18000000,5,93,3450,1
0,0,22649291,1,102,3451,170
0,0,5000000,10,139,224,1
0,0,22649291,4,115,3452,8
0,1,10000000,15,97,3453,73
0,1,24000000,6,102,3454,1
0,0,22649291,1,90,3455,28
0,1,66000000,11,112,3456,18
0,0,22649291,10,115,3457,455
0,0,22649291,11,117,3458,6
0,0,4000000,1,113,3459,6
0,1,22649291,0,125,0,0
0,0,18000000,9,113,3460,103
1,0,3000000,1,100,3461,28
0,0,700000,6,88,3462,1
0,0,27000000,16,162,3463,18
1,1,500000,6,92,3464,1
0,0,22649291,9,103,0,0
0,0,150000,7,101,3465,6
1,0,22649291,2,115,3466,35
1,0,20000000,6,85,31,1
1,1,5000000,11,93,3467,119
0,1,5000000,6,97,3468,1
0,0,51000000,7,90,3469,21
0,1,18000000,11,106,3470,1
0,0,22649291,1,107,3471,29
0,1,40000000,12,139,3472,1
0,0,13000000,2,170,3473,2
0,0,22649291,7,108,3474,456
0,0,3700000,6,135,843,1
0,0,8000000,8,94,3475,1
1,0,12000000,7,113,26,1
0,0,22649291,6,88,76,1
0,0,22000000,7,146,0,0
0,0,22649291,4,90,3476,1
1,0,31000000,19,100,66,1
0,1,52000000,7,125,3477,1
1,0,6000000,5,110,3478,383
0,1,140000000,16,150,3479,150
0,0,22649291,4,95,89,1
0,0,22649291,6,96,3480,457
0,1,50000000,12,95,3481,458
0,0,2000000,3,91,3482,1
0,0,8500000,1,95,0,0
0,0,22649291,4,97,3483,1
0,0,17010000,2,96,3484,1
0,1,61000000,13,109,3485,1
0,1,22649291,0,130,0,2
0,0,35000000,6,100,3486,1
0,0,5000000,6,96,26,1
0,1,150000000,9,91,3487,1
0,0,1500000,6,93,3488,18
0,0,20000000,3,113,3489,1
0,1,135000000,9,96,1972,1
0,1,28000000,13,101,3490,1
0,0,12000000,4,100,3491,1
0,1,5500000,7,113,3492,1
0,0,26000000,12,106,3493,106
0,1,6000000,12,117,3494,11
1,0,22649291,3,102,3495,26
0,1,22649291,12,94,3496,1
0,0,22649291,4,135,953,3
1,0,9000000,13,92,1563,1
0,1,22649291,6,108,3497,1
0,0,22649291,6,103,3498,56
0,0,11000000,7,98,3499,6
0,0,1500000,5,111,393,1
0,0,3000000,7,96,3500,1
1,0,10500000,8,97,3501,1
0,0,8000000,3,109,0,0
0,1,55000000,8,90,3502,1
0,0,7500000,5,99,45,74
0,1,4531653,2,100,3503,32
0,0,15000000,7,124,3504,1
0,0,22649291,1,96,66,1
1,0,31000000,10,91,7,1
0,1,15000000,5,119,3505,6
0,1,19000000,18,83,3506,88
0,0,31000000,10,99,3507,32
0,0,22649291,4,119,342,88
0,1,22649291,6,86,0,0
0,1,22649291,2,91,3508,18
1,0,1950000,3,93,2266,459
0,0,22649291,12,106,3509,1
0,0,379000,1,100,73,1
0,0,22649291,7,82,3510,1
1,1,200000000,29,151,3511,1
0,1,25000000,15,145,3512,1
0,0,15000000,5,90,3513,460
1,1,76000000,25,98,3514,1
0,1,1,4,90,3515,1
1,1,26000000,7,87,3516,1
0,0,22649291,10,102,3517,1
0,0,11000000,9,130,3518,461
0,0,13000000,13,153,3519,2
1,1,25000000,13,113,3520,1
0,1,8000000,12,100,3521,1
0,0,22649291,4,89,3522,1
0,1,47000000,31,113,3523,1
0,0,10000,1,103,3524,462
0,0,22649291,1,96,3525,37
0,0,15000000,7,89,2,21
0,0,47000000,13,104,3526,1
0,0,22649291,5,97,3527,1
0,0,23000000,4,86,3528,364
0,1,7000000,10,94,73,1
1,1,6500000,1,100,0,1
0,0,21000000,6,109,3529,63
0,0,20000000,11,97,3530,1
0,1,22649291,1,100,3531,1
0,1,22649291,5,104,3532,1
0,0,10000000,8,91,3533,6
0,0,22649291,6,118,66,48
0,1,17000000,8,82,3534,1
0,1,22649291,9,109,3535,1
1,1,12000000,10,82,46,1
0,1,15000000,2,105,342,1
0,0,30000000,7,125,3536,1
1,0,84000000,9,88,3537,1
0,1,22649291,13,91,3538,70
0,1,70000000,9,112,3539,1
0,0,22649291,9,112,73,1
0,0,22649291,8,85,3540,1
0,1,85000000,13,124,3541,18
0,1,22649291,7,96,3542,1
1,1,250000000,146,147,3543,1
0,0,17000000,14,116,3544,18
1,0,22649291,2,92,31,1
0,1,700000,0,107,3545,1
0,0,12000000,7,95,3546,6
1,1,95000000,13,88,42,1
1,1,150000000,11,91,1972,1
0,0,3000000,10,116,3343,1
0,0,70000000,10,164,3547,463
0,0,2540800,11,103,73,1
0,0,22649291,3,88,224,1
0,0,35000000,6,114,3548,275
0,0,4000000,12,92,3549,1
0,0,18000000,5,92,3550,1
1,0,10000000,6,101,1322,1
1,1,85000000,12,83,3551,1
1,0,66000000,12,121,3552,88
0,0,10000000,11,103,3553,1
0,1,22649291,7,149,3554,464
0,0,14000000,6,86,2965,1
0,0,75000000,15,116,3555,1
0,0,3500000,27,97,3556,1
0,0,10000000,10,89,3557,26
0,0,15000000,6,82,89,1
0,0,22649291,11,107,3558,1
0,0,2500000,5,92,3559,1
0,1,2000000,1,85,0,28
0,1,30000000,9,97,3560,465
0,1,22649291,1,123,0,466
0,0,2000000,10,102,490,1
0,1,750000,2,160,3561,2
1,0,42000000,21,108,3562,1
0,0,22649291,13,102,3563,1
0,0,4638783,6,106,73,1
0,0,30,1,100,3564,103
0,1,5990000,9,145,3565,2
0,0,2000000,9,104,3566,42
1,0,2800000,8,88,26,1
0,0,22649291,11,92,3567,467
0,0,22649291,1,86,45,1
0,0,1300000,12,102,3568,1
0,0,13000000,3,71,3569,18
0,0,3500000,6,101,3570,48
0,0,22649291,0,107,3571,29
0,1,22649291,1,125,3572,1
0,0,22649291,3,81,3573,468
1,0,27000000,10,133,61,1
0,0,22649291,2,109,224,1
0,1,3500000,8,107,3574,1
0,1,1000000,0,106,0,0
0,0,16000000,10,94,3575,1
0,0,11000000,1,150,3576,2
1,0,3000000,6,92,2359,1
0,1,85000000,5,95,3577,59
0,0,4000000,3,119,3578,1
0,0,500,1,126,0,3
1,1,245000000,32,136,3579,1
0,0,22649291,2,92,3580,1
0,1,22649291,3,117,3581,1
1,1,46000000,9,111,3582,1
1,0,25000000,13,114,109,1
0,0,18000000,17,103,47,1
1,1,80000000,37,96,3583,1
0,0,22649291,1,82,3584,469
0,1,31000000,11,96,3585,45
0,0,50000000,13,107,3586,18
0,0,2500000,8,100,3587,1
0,1,22649291,11,95,3588,1
0,0,3000000,13,129,3589,103
0,0,22649291,4,134,3590,1
0,1,160000,10,85,3591,87
1,0,2000000,10,82,3592,1
0,1,22649291,6,103,3593,470
0,0,22649291,10,103,3594,1
0,0,2000000,6,85,26,1
0,0,19885552,6,109,26,1
0,0,20000000,11,84,31,1
1,1,35000000,20,91,3595,1
0,0,22649291,1,101,3596,1
